company	id	M1_num_clusters	M2_num_clusters	M1_num_remote_clusters	M2_num_remote_clusters	M1_HQ_state	M1_HQ_country	M1_HQ_coordinates	M2_HQ_state	M2_HQ_country	M2_HQ_coordinates	HQ1-HQ2_distance	average_cluster_distance	median_cluster_distance	sd	pairs
evidon	41d4d464-a4f9-b40b-d396-192c6e5c2234	4	4	3	3	NY	US	(41.2042, -73.7275)	NY	US	(41.2042, -73.7275)	0.0	0.0	0.0	0.0	((41.2042, -73.7275)-('41.2042', '-73.7275')); ((37.775, -122.4183)-('37.775', '-122.4183')); ((28.325, -81.5333)-('28.325', '-81.5333')); ((42.4258, -71.3044)-('42.4258', '-71.3044'))
malvern	b3e5f4f0-e6e1-9f47-98a9-4393794d1597	1	1	0	0	MD	US	(39.1807, -77.0591)	MD	US	(39.1807, -77.0591)	0.0	0.0	0.0	N/A	((39.1807, -77.0591)-('39.1807', '-77.0591'))
permira	6d680af8-48ff-71c4-05af-1309d0f58ea5	3	3	2	2	CA	US	(37.7022, -121.9347)	CA	US	(37.7022, -121.9347)	0.0	0.0	0.0	0.0	((37.7022, -121.9347)-('37.7022', '-121.9347')); ((55.2083, -2.0784)-('55.2083', '-2.0784')); ((50.6, -2.45)-('50.6', '-2.45'))
masimo	5712c83a-bee8-c274-da83-7a71a1382846	2	2	1	1	CA	US	(33.5225, -117.7067)	CA	US	(33.5225, -117.7067)	0.0	0.0	0.0	N/A	((33.5225, -117.7067)-('33.5225', '-117.7067')); ((42.8614, -71.6258)-('42.8614', '-71.6258'))
lexisnexis	7e3bd125-71a9-0d4d-49cc-1f7aa835bcb4	5	5	4	4	TX	US	(30.2669, -97.7428)	TX	US	(30.2669, -97.7428)	0.0	0.0	0.0	0.0	((30.2669, -97.7428)-('30.2669', '-97.7428')); ((26.3583, -80.0833)-('26.3583', '-80.0833')); ((34.0753, -84.2942)-('34.0753', '-84.2942')); ((39.7589, -84.1917)-('39.7589', '-84.1917')); ((45.5608, -94.1622)-('45.5608', '-94.1622'))
abb	1a8d429b-c1a2-4788-fe84-1eb0975dbc60	4	4	3	3	SC	US	(34.9386, -82.2272)	SC	US	(34.9386, -82.2272)	0.0	0.0	0.0	0.0	((34.9386, -82.2272)-('34.9386', '-82.2272')); ((47.3769, 8.5417)-('47.3769', '8.5417')); ((35.7914, -78.7814)-('35.7914', '-78.7814')); ((36.9742, -122.0297)-('36.9742', '-122.0297'))
dowdupont	1c1cbba4-b6f7-39dc-d223-b2eced8f55b6	1	1	0	0		DE	(50.0919, 10.2694)		DE	(50.0919, 10.2694)	0.0	0.0	0.0	N/A	((50.0919, 10.2694)-('50.0919', '10.2694'))
u.s. bancorp	9561f613-9cc0-d418-da8c-2f545b6eb8b6	1	1	0	0	MN	US	(44.9537, -93.09)	MN	US	(44.9537, -93.09)	0.0	0.0	0.0	N/A	((44.9537, -93.09)-('44.9537', '-93.09'))
procter & gamble	5d910027-649d-c49c-2aa0-863ddc47183f	19	19	18	18	OH	US	(39.1619, -84.4569)	RI	US	(41.5775, -71.5381)	1125.7277220904316	0.0	0.0	0.0	((39.1619, -84.4569)-('39.1619', '-84.4569')); ((41.5775, -71.5381)-('41.5775', '-71.5381')); ((51.3333, -1.1167)-('51.3333', '-1.1167')); ((49.7386, 8.5958)-('49.7386', '8.5958')); ((51.8969, -8.4863)-('51.8969', '-8.4863')); ((47.7167, 9.7333)-('47.7167', '9.7333')); ((47.8125, 12.6101)-('47.8125', '12.6101')); ((37.9444, -87.4053)-('37.9444', '-87.4053')); ((40.2336, -81.3444)-('40.2336', '-81.3444')); ((39.1433, -77.2017)-('39.1433', '-77.2017')); ((55.2083, -2.0784)-('55.2083', '-2.0784')); ((39.9042, 116.4074)-('39.9042', '116.4074')); ((23, -102)-('23', '-102')); ((51.2005, 13.6276)-('51.2005', '13.6276')); ((35.0401, 105.9849)-('35.0401', '105.9849')); ((38.627, -90.1994)-('38.627', '-90.1994')); ((38.2325, -122.6356)-('38.2325', '-122.6356')); ((31.0456, 121.3997)-('31.0456', '121.3997')); ((45.5236, -122.675)-('45.5236', '-122.675'))
mitsubishi heavy industries	bc0a165f-929d-4497-a52a-92e25ae0d8c6	4	4	3	3		JP	(35.685, 139.7514)		GB	(55.907, -3.5517)	9253.902321486805	0.0	0.0	0.0	((35.685, 139.7514)-('35.685', '139.7514')); ((55.907, -3.5517)-('55.907', '-3.5517')); ((37.5833, 139.9167)-('37.5833', '139.9167')); ((51.5112, -0.1198)-('51.5112', '-0.1198'))
