company_name	id	number_of_inventors	number_of_local_inventors	number_of_remote_inventors	number_of_clusters (local+remote)	radius_local	radius_remote	local_cluster	nonlocal_cluster	remote_cluster
medtronic	8579919	5	5	0	1	70	70	{'number_of_inventors_in_cluster': 5, 'locations': '(37.3861 -122.0828); (37.5072 -122.2594); (37.5586 -122.27); (37.5072 -122.2594); (37.5072 -122.2594)', 'center_lat': 37.3861, 'center_lng': -122.0828, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	N/A
medtronic	8579926	4	3	1	2	70	70	{'number_of_inventors_in_cluster': 3, 'locations': '(33.8353 -117.9136); (33.6694 -117.8222); (33.6408 -117.6022)', 'center_lat': 33.8353, 'center_lng': -117.9136, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(32.7153 -117.1564)', 'center_lat': 32.7153, 'center_lng': -117.1564, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 143.0540968527676}]
medtronic	8622916	3	1	2	3	70	70	{'number_of_inventors_in_cluster': 1, 'locations': '(32.5839 -117.1122)', 'center_lat': 32.5839, 'center_lng': -117.1122, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(40.7142 -74.0064)', 'center_lat': 40.7142, 'center_lng': -74.0064, 'state': 'NY', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 3909.3893491900644}, {'number_of_inventors_in_cluster': 1, 'locations': '(37.8044 -122.2697)', 'center_lat': 37.8044, 'center_lng': -122.2697, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 745.7767038199321}]
medtronic	8628523	3	2	1	2	70	70	{'number_of_inventors_in_cluster': 2, 'locations': '(40.015 -105.27); (40.1672 -105.1014)', 'center_lat': 40.015, 'center_lng': -105.27, 'state': 'CO', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(37.3689 -122.0353)', 'center_lat': 37.3689, 'center_lng': -122.0353, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 1482.136610475971}]
medtronic	8663213	4	3	1	2	70	70	{'number_of_inventors_in_cluster': 3, 'locations': '(37.775 -122.4183); (37.3853 -122.1131); (37.3689 -122.0353)', 'center_lat': 37.775, 'center_lng': -122.4183, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(40.015 -105.27)', 'center_lat': 40.015, 'center_lng': -105.27, 'state': 'CO', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 1502.3781202117716}]
medtronic	8663304	5	5	0	1	70	70	{'number_of_inventors_in_cluster': 5, 'locations': '(33.4269 -117.6111); (33.4269 -117.6111); (33.4269 -117.6111); (33.4269 -117.6111); (33.4269 -117.6111)', 'center_lat': 33.4269, 'center_lng': -117.6111, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	N/A
medtronic	8672933	3	2	1	2	70	70	{'number_of_inventors_in_cluster': 2, 'locations': '(40.015 -105.27); (40.0503 -105.0494)', 'center_lat': 40.015, 'center_lng': -105.27, 'state': 'CO', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 1, 'locations': '(37.3689 -122.0353)', 'center_lat': 37.3689, 'center_lng': -122.0353, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 1482.136610475971}]
medtronic	8700116	4	4	0	1	70	70	{'number_of_inventors_in_cluster': 4, 'locations': '(40.2247 -105.2708); (40.2247 -105.2708); (40.015 -105.27); (39.7556 -105.2206)', 'center_lat': 40.2247, 'center_lng': -105.2708, 'state': 'CO', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	N/A
medtronic	8721639	3	3	0	1	70	70	{'number_of_inventors_in_cluster': 3, 'locations': '(37.3394 -121.8939); (37.4539 -122.1811); (37.3394 -121.8939)', 'center_lat': 37.3394, 'center_lng': -121.8939, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	N/A
medtronic	8740893	4	2	2	2	70	70	{'number_of_inventors_in_cluster': 2, 'locations': '(37.3689 -122.0353); (37.4853 -122.2353)', 'center_lat': 37.3689, 'center_lng': -122.0353, 'state': 'CA', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 'N/A'}	N/A	[{'number_of_inventors_in_cluster': 2, 'locations': '(40.015 -105.27); (40.015 -105.27)', 'center_lat': 40.015, 'center_lng': -105.27, 'state': 'CO', 'country': 'US', 'geographical_relationship': 'domestic', 'haversine_distance_to_local': 1482.136610475971}]
