cluster_id	company_id	company	patent_id	local_radius	remote_radius	number_of_inventors	locations	center_lat	center_lng	state	country	geographical_relationship	haversine_distance_to_local
57	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7467075	70	70	1	(42.3583 -71.0603)	42.3583	-71.0603	MA	US	domestic	2836.677625523815
58	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7467075	70	70	1	(35.0844 -106.6506)	35.0844	-106.6506	NM	US	domestic	581.3865419054425
59	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7473145	70	70	2	(40.1672 -105.1014); (40.1672 -105.1014)	40.1672	-105.1014	CO	US	domestic	N/A
60	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7473253	70	70	2	(40.1672 -105.1014); (39.9528 -105.1681)	40.1672	-105.1014	CO	US	domestic	N/A
61	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7478946	70	70	2	(38.815 -90.9558); (38.627 -90.1994)	38.815	-90.9558	MO	US	domestic	N/A
62	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7478946	70	70	1	(34.4114 -118.5392)	34.4114	-118.5392	CA	US	domestic	2500.151821366166
63	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7480533	70	70	2	(42.3958 -71.1792); (42.5389 -71.0486)	42.3958	-71.1792	MA	US	domestic	N/A
64	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7481810	70	70	5	(39.7392 -104.9842); (40.015 -105.27); (40.2247 -105.2708); (40.1672 -105.1014); (40.015 -105.27)	39.7392	-104.9842	CO	US	domestic	N/A
65	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7491201	70	70	1	(40.015 -105.27)	40.015	-105.27	CO	US	domestic	N/A
66	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7491201	70	70	1	(40.8689 -73.3656)	40.8689	-73.3656	NY	US	domestic	2686.633282162968
67	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7491202	70	70	1	(40.0503 -105.0494)	40.0503	-105.0494	CO	US	domestic	N/A
68	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7494274	70	70	3	(38.8106 -90.6997); (38.5581 -91.0119); (38.7483 -89.9831)	38.8106	-90.6997	MO	US	domestic	N/A
69	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7500974	70	70	1	(40.1672 -105.1014)	40.1672	-105.1014	CO	US	domestic	N/A
70	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7500975	70	70	2	(40.015 -105.27); (39.9936 -105.0892)	40.015	-105.27	CO	US	domestic	N/A
71	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7503917	70	70	3	(40.1672 -105.1014); (40.1672 -105.1014); (40.1672 -105.1014)	40.1672	-105.1014	CO	US	domestic	N/A
72	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7507019	70	70	1	(38.5828 -90.6628)	38.5828	-90.6628	MO	US	domestic	N/A
73	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7510556	70	70	7	(40.5853 -105.0839); (40.1672 -105.1014); (39.9528 -105.1681); (39.9778 -105.1314); (39.9528 -105.1681); (40.1672 -105.1014); (40.1672 -105.1014)	40.1672	-105.1014	CO	US	domestic	N/A
74	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7513896	70	70	1	(39.9614 -105.5103)	39.9614	-105.5103	CO	US	domestic	N/A
75	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7513898	70	70	3	(40.3083 -105.0806); (39.9778 -105.1314); (40.1672 -105.1014)	40.3083	-105.0806	CO	US	domestic	N/A
76	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7520671	70	70	1	(38.815 -90.9558)	38.815	-90.9558	MO	US	domestic	N/A
77	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7520671	70	70	1	(41.9142 -88.3087)	41.9142	-88.3087	MO	US	domestic	411.1144566206477
78	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7520671	70	70	1	(44.9537 -93.09)	44.9537	-93.09	MO	US	domestic	705.0131928091562
79	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7530738	70	70	1	(38.5828 -90.6628)	38.5828	-90.6628	MO	US	domestic	N/A
80	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7534099	70	70	3	(38.8106 -90.6997); (38.8106 -90.6997); (38.627 -90.1994)	38.8106	-90.6997	MO	US	domestic	N/A
81	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7536568	70	70	2	(38.5828 -90.6628); (38.5833 -90.4067)	38.5828	-90.6628	MO	US	domestic	N/A
82	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7537594	70	70	1	(40.1672 -105.1014)	40.1672	-105.1014	CO	US	domestic	N/A
83	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7540872	70	70	2	(40.1672 -105.1014); (40.3083 -105.0806)	40.1672	-105.1014	CO	US	domestic	N/A
84	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7549792	70	70	2	(38.5833 -90.4067); (38.7483 -89.9831)	38.5833	-90.4067	MO	US	domestic	N/A
85	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7553309	70	70	3	(40.015 -105.27); (40.1672 -105.1014); (40.015 -105.27)	40.015	-105.27	CO	US	domestic	N/A
86	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7553312	70	70	3	(39.1619 -84.4569); (39.1619 -84.4569); (39.404 -84.4068)	39.1619	-84.4569	OH	US	domestic	N/A
87	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7553312	70	70	3	(40.1672 -105.1014); (40.3083 -105.0806); (40.1672 -105.1014)	40.1672	-105.1014	CO	US	domestic	1766.6610111986442
88	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7553312	70	70	1	(30.2669 -97.7428)	30.2669	-97.7428	TX	US	domestic	1563.1898759296266
89	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7556424	70	70	3	(38.8106 -90.6997); (38.5506 -90.3331); (38.627 -90.1994)	38.8106	-90.6997	MO	US	domestic	N/A
90	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7556424	70	70	1	(34.4114 -118.5392)	34.4114	-118.5392	CA	US	domestic	2522.295961299817
91	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7557317	70	70	2	(39.9528 -105.1681); (40.1672 -105.1014)	39.9528	-105.1681	CO	US	domestic	N/A
92	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7572255	70	70	5	(40.1672 -105.1014); (40.015 -105.27); (40.3083 -105.0806); (40.1672 -105.1014); (40.015 -105.27)	40.1672	-105.1014	CO	US	domestic	N/A
93	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7582087	70	70	4	(39.9528 -105.1681); (40.015 -105.27); (40.3083 -105.0806); (40.0503 -105.0494)	39.9528	-105.1681	CO	US	domestic	N/A
94	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7582087	70	70	3	(39.1619 -84.4569); (39.1619 -84.4569); (39.404 -84.4068)	39.1619	-84.4569	OH	US	domestic	1773.7588382194772
95	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7582244	70	70	2	(40.1672 -105.1014); (39.9206 -105.0861)	40.1672	-105.1014	CO	US	domestic	N/A
96	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7594916	70	70	1	(39.7392 -104.9842)	39.7392	-104.9842	CO	US	domestic	N/A
97	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7596844	70	70	2	(42.4222 -88.6136); (42.1681 -88.4281)	42.4222	-88.6136	IL	US	domestic	N/A
98	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7597693	70	70	1	(40.1672 -105.1014)	40.1672	-105.1014	CO	US	domestic	N/A
99	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7600638	70	70	1	(42.1681 -88.4281)	42.1681	-88.4281	IL	US	domestic	N/A
100	002f8715-7e27-c7f5-7190-8d2968cf7dc5	covidien	7600639	70	70	2	(42.4222 -88.6136); (42.1681 -88.4281)	42.4222	-88.6136	IL	US	domestic	N/A
